name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,5000,191211,114803,3.19,114803,3.19,3.22,191211,3.22
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,10000,377456,226778,6.3,111975,3.11,6.35,186245,3.13
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,15000,622640,373997,10.4,147219,4.09,10.47,245184,4.12
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,20000,1084265,654001,18.18,280004,7.78,18.24,461625,7.77
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,25000,1384570,835019,23.21,181018,5.03,23.29,300305,5.05
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,30000,1859207,1121190,31.17,286171,7.96,31.27,474637,7.98
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,35000,2309855,1393513,38.74,272323,7.57,38.85,450648,7.58
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,40000,2754190,1662331,46.21,268818,7.47,46.33,444335,7.47
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,45000,3113192,1880193,52.27,217862,6.06,52.37,359002,6.04
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,education,DISTANCE,50000,3480942,2102066,58.44,221873,6.17,58.55,367750,6.19
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,5000,11775409,5178440,91.7,5178440,91.7,92.24,11775409,92.24
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,10000,12164246,5367210,95.04,188770,3.34,95.29,388837,3.05
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,15000,12290148,5429057,96.13,61847,1.1,96.27,125902,0.99
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,20000,12354766,5458934,96.66,29877,0.53,96.78,64618,0.51
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,25000,12384012,5473497,96.92,14563,0.26,97.01,29246,0.23
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,30000,12408643,5485691,97.14,12194,0.22,97.2,24631,0.19
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,35000,12420634,5491631,97.24,5940,0.11,97.3,11991,0.09
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,40000,12428583,5495466,97.31,3835,0.07,97.36,7949,0.06
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,45000,12436343,5499326,97.38,3860,0.07,97.42,7760,0.06
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,education,DISTANCE,50000,12441213,5501765,97.42,2439,0.04,97.46,4870,0.04
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,5000,382402,209399,11.05,209399,11.05,11.49,382402,11.49
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,10000,908731,493461,26.04,284062,14.99,27.3,526329,15.81
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,15000,1380628,753100,39.74,259639,13.7,41.47,471897,14.18
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,20000,1631251,895836,47.28,142736,7.53,49.0,250623,7.53
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,25000,1856684,1027382,54.22,131546,6.94,55.78,225433,6.77
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,30000,1968774,1092105,57.64,64723,3.42,59.14,112090,3.37
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,35000,2084300,1160020,61.22,67915,3.58,62.61,115526,3.47
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,40000,2162479,1206099,63.65,46079,2.43,64.96,78179,2.35
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,45000,2308141,1291292,68.15,85193,4.5,69.34,145662,4.38
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,education,DISTANCE,50000,2432728,1365114,72.04,73822,3.9,73.08,124587,3.74
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,5000,24298,14813,0.51,14813,0.51,0.51,24298,0.51
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,10000,29352,17936,0.61,3123,0.11,0.61,5054,0.11
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,15000,45411,27718,0.95,9782,0.33,0.95,16059,0.34
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,20000,59325,36338,1.24,8620,0.29,1.24,13914,0.29
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,25000,103303,63500,2.17,27162,0.93,2.16,43978,0.92
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,30000,133214,81991,2.8,18491,0.63,2.79,29911,0.63
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,35000,172430,106063,3.62,24072,0.82,3.61,39216,0.82
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,40000,180237,110875,3.79,4812,0.16,3.77,7807,0.16
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,45000,191904,118076,4.03,7201,0.25,4.01,11667,0.24
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,education,DISTANCE,50000,230441,141994,4.85,23918,0.82,4.82,38537,0.81
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,5000,261789,134067,4.3,134067,4.3,4.34,261789,4.34
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,10000,576369,296565,9.52,162498,5.22,9.55,314580,5.21
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,15000,945436,488355,15.68,191790,6.16,15.66,369067,6.11
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,20000,1448344,750507,24.09,262152,8.42,24.0,502908,8.33
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,25000,2169677,1125474,36.13,374967,12.04,35.95,721333,11.95
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,30000,2859760,1478970,47.48,353496,11.35,47.38,690083,11.43
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,35000,3349359,1729591,55.52,250621,8.05,55.49,489599,8.11
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,40000,3807785,1964820,63.07,235229,7.55,63.09,458426,7.6
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,45000,4161644,2148098,68.96,183278,5.88,68.95,353859,5.86
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,education,DISTANCE,50000,4427624,2285994,73.38,137896,4.43,73.35,265980,4.41
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,5000,423558,248508,6.92,248508,6.92,7.09,423558,7.09
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,10000,703671,411044,11.44,162536,4.52,11.78,280113,4.69
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,15000,989761,583082,16.23,172038,4.79,16.58,286090,4.79
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,20000,1320033,782384,21.77,199302,5.55,22.11,330272,5.53
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,25000,1848856,1102181,30.67,319797,8.9,30.96,528823,8.86
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,30000,2350902,1405993,39.13,303812,8.46,39.37,502046,8.41
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,35000,2861112,1714076,47.7,308083,8.57,47.92,510210,8.54
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,40000,3251995,1951272,54.3,237196,6.6,54.46,390883,6.55
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,45000,3585902,2153591,59.94,202319,5.63,60.06,333907,5.59
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,education,DISTANCE,50000,3839214,2306769,64.2,153178,4.26,64.3,253312,4.24
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,5000,1150664,593864,23.82,593864,23.82,23.63,1150664,23.63
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,10000,2152969,1094451,43.89,500587,20.08,44.21,1002305,20.58
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,15000,2881090,1471794,59.03,377343,15.13,59.16,728121,14.95
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,20000,3449796,1766784,70.86,294990,11.83,70.84,568706,11.68
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,25000,3918360,2007519,80.51,240735,9.65,80.46,468564,9.62
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,30000,4307071,2204560,88.42,197041,7.9,88.44,388711,7.98
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,35000,4582772,2345544,94.07,140984,5.65,94.1,275701,5.66
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,40000,4760807,2437524,97.76,91980,3.69,97.76,178035,3.66
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,45000,4792379,2453687,98.41,16163,0.65,98.41,31572,0.65
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,education,DISTANCE,50000,4814768,2464837,98.86,11150,0.45,98.87,22389,0.46
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,5000,945736,482024,18.22,482024,18.22,18.61,945736,18.61
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,10000,1661059,849875,32.12,367851,13.9,32.69,715323,14.08
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,15000,2259471,1162311,43.93,312436,11.81,44.47,598412,11.78
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,20000,2821469,1458824,55.13,296513,11.21,55.53,561998,11.06
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,25000,3210044,1664018,62.89,205194,7.75,63.18,388575,7.65
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,30000,3505183,1819565,68.76,155547,5.88,68.98,295139,5.81
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,35000,3760757,1953976,73.84,134411,5.08,74.01,255574,5.03
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,40000,4077136,2119343,80.09,165367,6.25,80.24,316379,6.23
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,45000,4280947,2226798,84.15,107455,4.06,84.25,203811,4.01
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,education,DISTANCE,50000,4409197,2294019,86.69,67221,2.54,86.78,128250,2.52
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,5000,489747,253086,19.11,253086,19.11,19.4,489747,19.4
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,10000,664003,343674,25.95,90588,6.84,26.3,174256,6.9
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,15000,834977,432940,32.68,89266,6.74,33.08,170974,6.77
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,20000,942168,489236,36.93,56296,4.25,37.32,107191,4.25
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,25000,1000670,519911,39.25,30675,2.32,39.64,58502,2.32
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,30000,1088471,566485,42.77,46574,3.52,43.12,87801,3.48
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,35000,1147026,597358,45.1,30873,2.33,45.44,58555,2.32
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,40000,1172618,610775,46.11,13417,1.01,46.45,25592,1.01
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,45000,1277747,666241,50.3,55466,4.19,50.62,105129,4.16
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,education,DISTANCE,50000,1283679,669373,50.53,3132,0.24,50.85,5932,0.23
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,5000,474572,264655,9.53,264655,9.53,9.95,474572,9.95
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,10000,819632,464921,16.74,200266,7.21,17.19,345060,7.24
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,15000,1088692,621343,22.37,156422,5.63,22.83,269060,5.64
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,20000,1257673,720510,25.94,99167,3.57,26.38,168981,3.54
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,25000,1363033,782210,28.16,61700,2.22,28.59,105360,2.21
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,30000,1476479,848349,30.54,66139,2.38,30.97,113446,2.38
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,35000,1571479,903875,32.54,55526,2.0,32.96,95000,1.99
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,40000,1675142,964780,34.73,60905,2.19,35.13,103663,2.17
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,45000,1767213,1018970,36.68,54190,1.95,37.06,92071,1.93
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,education,DISTANCE,50000,1838266,1060830,38.19,41860,1.51,38.55,71053,1.49
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,5000,4333032,2611652,30.6,2611652,30.6,30.94,4333032,30.94
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,10000,5268949,3186046,37.34,574394,6.73,37.62,935917,6.68
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,15000,6143139,3719659,43.59,533613,6.25,43.86,874190,6.24
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,20000,7015076,4249846,49.8,530187,6.21,50.09,871937,6.23
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,25000,7780448,4718144,55.29,468298,5.49,55.55,765372,5.46
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,30000,8607031,5223155,61.21,505011,5.92,61.45,826583,5.9
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,35000,9552078,5802743,68.0,579588,6.79,68.2,945047,6.75
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,40000,10609841,6444641,75.52,641898,7.52,75.75,1057763,7.55
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,45000,11298475,6866451,80.46,421810,4.94,80.67,688634,4.92
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,education,DISTANCE,50000,11988583,7289098,85.42,422647,4.95,85.59,690108,4.93
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,5000,789906,437967,17.0,437967,17.0,17.76,789906,17.76
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,10000,1131555,628724,24.41,190757,7.41,25.44,341649,7.68
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,15000,1403729,786436,30.53,157712,6.12,31.55,272174,6.12
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,20000,1675956,942072,36.57,155636,6.04,37.67,272227,6.12
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,25000,1916694,1082625,42.03,140553,5.46,43.09,240738,5.41
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,30000,2187253,1241752,48.21,159127,6.18,49.17,270559,6.08
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,35000,2365051,1345218,52.22,103466,4.02,53.16,177798,4.0
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,40000,2543184,1449616,56.27,104398,4.05,57.17,178133,4.0
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,45000,2632143,1502116,58.31,52500,2.04,59.17,88959,2.0
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,education,DISTANCE,50000,2723673,1556438,60.42,54322,2.11,61.23,91530,2.06
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,5000,46142,28355,0.98,28355,0.98,0.98,46142,0.98
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,10000,92975,57011,1.98,28656,1.0,1.98,46833,1.0
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,15000,154356,94777,3.29,37766,1.31,3.29,61381,1.31
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,20000,442185,271446,9.43,176669,6.13,9.44,287829,6.14
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,25000,681225,417248,14.49,145802,5.06,14.54,239040,5.1
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,30000,842759,516629,17.94,99381,3.45,17.99,161534,3.45
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,35000,1053285,646626,22.45,129997,4.51,22.48,210526,4.49
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,40000,1215771,746566,25.92,99940,3.47,25.95,162486,3.47
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,45000,1341005,823606,28.6,77040,2.68,28.62,125234,2.67
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,education,DISTANCE,50000,1438450,883494,30.68,59888,2.08,30.7,97445,2.08
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,5000,1833411,1042629,19.6,1042629,19.6,20.65,1833411,20.65
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,10000,2804055,1618184,30.42,575555,10.82,31.58,970644,10.93
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,15000,3172476,1838820,34.57,220636,4.15,35.73,368421,4.15
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,20000,3584646,2088948,39.27,250128,4.7,40.37,412170,4.64
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,25000,4143506,2429024,45.66,340076,6.39,46.67,558860,6.29
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,30000,4611750,2714018,51.02,284994,5.36,51.94,468244,5.27
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,35000,5108018,3016294,56.7,302276,5.68,57.53,496268,5.59
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,40000,5488250,3246426,61.03,230132,4.33,61.81,380232,4.28
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,45000,5822580,3449845,64.85,203419,3.82,65.58,334330,3.77
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,education,DISTANCE,50000,6202876,3682336,69.22,232491,4.37,69.86,380296,4.28
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,5000,3250023,1602585,37.88,1602585,37.88,39.12,3250023,39.12
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,10000,5092182,2543224,60.12,940639,22.24,61.29,1842159,22.17
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,15000,5894247,2960256,69.98,417032,9.86,70.94,802065,9.65
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,20000,6455830,3254303,76.93,294047,6.95,77.7,561583,6.76
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,25000,7060997,3573890,84.49,319587,7.55,84.99,605167,7.28
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,30000,7468292,3788797,89.57,214907,5.08,89.89,407295,4.9
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,35000,7798609,3960154,93.62,171357,4.05,93.87,330317,3.98
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,40000,7899921,4013419,94.88,53265,1.26,95.09,101312,1.22
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,45000,7977455,4054461,95.85,41042,0.97,96.02,77534,0.93
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,education,DISTANCE,50000,8022890,4078338,96.41,23877,0.56,96.57,45435,0.55
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,5000,1602063,784868,34.32,784868,34.32,35.44,1602063,35.44
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,10000,2205755,1085458,47.46,300590,13.14,48.79,603692,13.35
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,15000,2581396,1276891,55.84,191433,8.37,57.1,375641,8.31
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,20000,3052348,1519989,66.47,243098,10.63,67.52,470952,10.42
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,25000,3389808,1692477,74.01,172488,7.54,74.98,337460,7.46
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,30000,3603843,1803500,78.86,111023,4.85,79.71,214035,4.73
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,35000,3812156,1911574,83.59,108074,4.73,84.32,208313,4.61
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,40000,3948165,1982444,86.69,70870,3.1,87.33,136009,3.01
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,45000,4099030,2062052,90.17,79608,3.48,90.67,150865,3.34
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,education,DISTANCE,50000,4203008,2115494,92.51,53442,2.34,92.97,103978,2.3
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,5000,216616,136006,6.24,136006,6.24,6.04,216616,6.04
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,10000,311928,195891,8.99,59885,2.75,8.69,95312,2.66
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,15000,340169,213608,9.81,17717,0.81,9.48,28241,0.79
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,20000,352778,221467,10.17,7859,0.36,9.83,12609,0.35
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,25000,371654,232903,10.69,11436,0.53,10.36,18876,0.53
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,30000,399023,249654,11.46,16751,0.77,11.12,27369,0.76
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,35000,509097,316064,14.51,66410,3.05,14.19,110074,3.07
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,40000,641232,396436,18.2,80372,3.69,17.87,132135,3.68
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,45000,723350,446988,20.52,50552,2.32,20.16,82118,2.29
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,education,DISTANCE,50000,772807,477160,21.91,30172,1.39,21.54,49457,1.38
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,5000,1503863,765222,24.37,765222,24.37,24.7,1503863,24.7
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,10000,2465086,1264506,40.28,499284,15.9,40.48,961223,15.78
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,15000,3113497,1603208,51.06,338702,10.79,51.13,648411,10.65
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,20000,3572192,1841288,58.65,238080,7.58,58.66,458695,7.53
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,25000,3925166,2022496,64.42,181208,5.77,64.46,352974,5.8
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,30000,4312585,2221531,70.76,199035,6.34,70.82,387419,6.36
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,35000,4528728,2332816,74.3,111285,3.54,74.37,216143,3.55
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,40000,4742112,2443099,77.81,110283,3.51,77.87,213384,3.5
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,45000,4979392,2564292,81.67,121193,3.86,81.77,237280,3.9
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,education,DISTANCE,50000,5161307,2657180,84.63,92888,2.96,84.75,181915,2.99
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,5000,231962,136374,8.74,136374,8.74,8.87,231962,8.87
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,10000,543289,318399,20.41,182025,11.67,20.79,311327,11.91
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,15000,743328,436467,27.98,118068,7.57,28.44,200039,7.65
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,20000,913771,538557,34.52,102090,6.54,34.96,170443,6.52
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,25000,1032410,609601,39.07,71044,4.55,39.5,118639,4.54
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,30000,1227561,726794,46.58,117193,7.51,46.97,195151,7.47
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,35000,1329826,788431,50.53,61637,3.95,50.88,102265,3.91
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,40000,1573285,934093,59.87,145662,9.34,60.19,243459,9.31
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,45000,1687361,1002175,64.23,68082,4.36,64.56,114076,4.36
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,education,DISTANCE,50000,1768915,1051159,67.37,48984,3.14,67.68,81554,3.12
Borno,NG-BO,27671186B753479316714,NGA,ADM1,education,DISTANCE,5000,1661673,985550,26.11,985550,26.11,26.23,1661673,26.23
Borno,NG-BO,27671186B753479316714,NGA,ADM1,education,DISTANCE,10000,1970787,1166397,30.91,180847,4.79,31.1,309114,4.88
Borno,NG-BO,27671186B753479316714,NGA,ADM1,education,DISTANCE,15000,2234914,1321670,35.02,155273,4.11,35.27,264127,4.17
